LED_type,Sample_ID,Material,Dies,CCT,Ts,IF,Time,Flux
1,21,2,2,2700,56.8,100,2380,98.5
1,21,2,2,2700,56.8,100,3142,98.4
1,21,2,2,2700,56.8,100,3830,98.4
1,21,2,2,2700,56.8,100,4545,98.3
1,21,2,2,2700,56.8,100,5210,98.3
1,21,2,2,2700,56.8,100,6044,98.4
1,21,2,2,2700,56.8,100,6805,98.3
1,21,2,2,2700,56.8,100,7601,98.3
1,21,2,2,2700,56.8,100,8436,98.2
1,21,2,2,2700,56.8,100,9269,97.8
1,21,2,2,2700,56.8,100,10100,97.9
1,22,2,2,2700,56.8,100,0,100
1,22,2,2,2700,56.8,100,541,99.1
1,22,2,2,2700,56.8,100,1008,99.2
1,22,2,2,2700,56.8,100,1698,99.2
1,22,2,2,2700,56.8,100,2380,98.9
1,22,2,2,2700,56.8,100,3142,98.7
1,22,2,2,2700,56.8,100,3830,98.7
1,22,2,2,2700,56.8,100,4545,98.6
1,22,2,2,2700,56.8,100,5210,98.5
1,22,2,2,2700,56.8,100,6044,98.7
1,22,2,2,2700,56.8,100,6805,98.5
1,22,2,2,2700,56.8,100,7601,98.5
1,22,2,2,2700,56.8,100,8436,98.3
1,22,2,2,2700,56.8,100,9269,97.9
1,22,2,2,2700,56.8,100,10100,97.9
1,23,2,2,2700,56.8,100,0,100
1,23,2,2,2700,56.8,100,541,98.7
1,23,2,2,2700,56.8,100,1008,98.7
1,23,2,2,2700,56.8,100,1698,98.8
1,23,2,2,2700,56.8,100,2380,98.4
1,23,2,2,2700,56.8,100,3142,98.3
1,23,2,2,2700,56.8,100,3830,98.3
1,23,2,2,2700,56.8,100,4545,98.2
1,23,2,2,2700,56.8,100,5210,98.2
1,23,2,2,2700,56.8,100,6044,98.4
1,23,2,2,2700,56.8,100,6805,98.2
1,23,2,2,2700,56.8,100,7601,98.2
1,23,2,2,2700,56.8,100,8436,98.2
1,23,2,2,2700,56.8,100,9269,97.8
1,23,2,2,2700,56.8,100,10100,98.1
1,24,2,2,2700,56.8,100,0,100
1,24,2,2,2700,56.8,100,541,98.4
1,24,2,2,2700,56.8,100,1008,98.5
1,24,2,2,2700,56.8,100,1698,98.5
1,24,2,2,2700,56.8,100,2380,98.1
1,24,2,2,2700,56.8,100,3142,97.9
1,24,2,2,2700,56.8,100,3830,97.8
1,24,2,2,2700,56.8,100,4545,97.7
