Test_ID,Sample_ID,Ts,IF,Time,Flux_t
5,18,85,0.25,1512,0.9915
5,19,85,0.25,1512,0.9763
5,20,85,0.25,1512,0.9887
5,1,85,0.25,2016,0.9717
5,2,85,0.25,2016,0.9705
5,3,85,0.25,2016,0.9867
5,4,85,0.25,2016,0.9708
5,5,85,0.25,2016,0.9736
5,6,85,0.25,2016,0.9695
5,7,85,0.25,2016,0.9827
5,8,85,0.25,2016,0.985
5,9,85,0.25,2016,0.9703
5,10,85,0.25,2016,0.9857
5,11,85,0.25,2016,0.9788
5,12,85,0.25,2016,0.9782
5,13,85,0.25,2016,0.985
5,14,85,0.25,2016,0.9798
5,15,85,0.25,2016,0.975
5,16,85,0.25,2016,0.9675
5,17,85,0.25,2016,0.9883
5,18,85,0.25,2016,0.993
5,19,85,0.25,2016,0.9656
5,20,85,0.25,2016,0.9856
5,1,85,0.25,2520,0.9822
5,2,85,0.25,2520,0.9691
5,3,85,0.25,2520,0.9896
5,4,85,0.25,2520,0.9823
5,5,85,0.25,2520,0.9784
5,6,85,0.25,2520,0.9795
5,7,85,0.25,2520,0.9822
5,8,85,0.25,2520,0.9811
5,9,85,0.25,2520,0.9743
5,10,85,0.25,2520,0.981
5,11,85,0.25,2520,0.9713
5,12,85,0.25,2520,0.9772
5,13,85,0.25,2520,0.9866
5,14,85,0.25,2520,0.9664
5,15,85,0.25,2520,0.98
5,16,85,0.25,2520,0.9679
5,17,85,0.25,2520,0.9909
5,18,85,0.25,2520,0.9869
5,19,85,0.25,2520,0.9729
5,20,85,0.25,2520,0.9867
5,1,85,0.25,3024,0.9858
5,2,85,0.25,3024,0.9888
5,3,85,0.25,3024,0.9883
5,4,85,0.25,3024,0.9902
5,5,85,0.25,3024,0.9784
5,6,85,0.25,3024,0.9821
5,7,85,0.25,3024,0.9824
5,8,85,0.25,3024,0.9811
5,9,85,0.25,3024,0.9854
5,10,85,0.25,3024,0.9828
5,11,85,0.25,3024,0.9772
5,12,85,0.25,3024,0.9921
5,13,85,0.25,3024,0.9859
5,14,85,0.25,3024,0.9802
5,15,85,0.25,3024,0.9758
5,16,85,0.25,3024,0.981
5,17,85,0.25,3024,0.9898
5,18,85,0.25,3024,0.9876
5,19,85,0.25,3024,0.9796
5,20,85,0.25,3024,0.9884
5,1,85,0.25,3528,0.9836
5,2,85,0.25,3528,0.9887
5,3,85,0.25,3528,0.9931
5,4,85,0.25,3528,0.9857
5,5,85,0.25,3528,0.9832
5,6,85,0.25,3528,0.9805
5,7,85,0.25,3528,0.9866
5,8,85,0.25,3528,0.9861
5,9,85,0.25,3528,0.9869
5,10,85,0.25,3528,0.9882
5,11,85,0.25,3528,0.9883
5,12,85,0.25,3528,0.9914
5,13,85,0.25,3528,0.9916
5,14,85,0.25,3528,0.9866
5,15,85,0.25,3528,0.9825
5,16,85,0.25,3528,0.9843
5,17,85,0.25,3528,0.9945
5,18,85,0.25,3528,0.9915
5,19,85,0.25,3528,0.9809
5,20,85,0.25,3528,0.9931
5,1,85,0.25,4032,0.9676
5,2,85,0.25,4032,0.9829
5,3,85,0.25,4032,0.989
5,4,85,0.25,4032,0.9927
5,5,85,0.25,4032,0.9799
5,6,85,0.25,4032,0.983
5,7,85,0.25,4032,0.9841
5,8,85,0.25,4032,0.9823
5,9,85,0.25,4032,0.9856
5,10,85,0.25,4032,0.9837
5,11,85,0.25,4032,0.9904
5,12,85,0.25,4032,0.986
5,13,85,0.25,4032,0.9889
5,14,85,0.25,4032,0.9867
5,15,85,0.25,4032,0.9805
5,16,85,0.25,4032,0.9816
5,17,85,0.25,4032,0.9915
5,18,85,0.25,4032,0.9879
5,19,85,0.25,4032,0.9765
5,20,85,0.25,4032,0.9898
5,1,85,0.25,4536,0.9669
5,2,85,0.25,4536,0.9648
5,3,85,0.25,4536,0.9862
5,4,85,0.25,4536,0.9686
5,5,85,0.25,4536,0.977
5,6,85,0.25,4536,0.9684
5,7,85,0.25,4536,0.9806
5,8,85,0.25,4536,0.978
5,9,85,0.25,4536,0.965
5,10,85,0.25,4536,0.9808
5,11,85,0.25,4536,0.973
5,12,85,0.25,4536,0.969
5,13,85,0.25,4536,0.9841
5,14,85,0.25,4536,0.9673
5,15,85,0.25,4536,0.9767
5,16,85,0.25,4536,0.9607
5,17,85,0.25,4536,0.9873
5,18,85,0.25,4536,0.9837
5,19,85,0.25,4536,0.9567
5,20,85,0.25,4536,0.9865
5,1,85,0.25,5040,0.9672
5,2,85,0.25,5040,0.961
5,3,85,0.25,5040,0.9898
5,4,85,0.25,5040,0.9695
5,5,85,0.25,5040,0.9803
5,6,85,0.25,5040,0.9689
5,7,85,0.25,5040,0.9829
5,8,85,0.25,5040,0.9821
5,9,85,0.25,5040,0.9652
5,10,85,0.25,5040,0.9829
5,11,85,0.25,5040,0.9733
5,12,85,0.25,5040,0.9708
5,13,85,0.25,5040,0.9891
5,14,85,0.25,5040,0.9635
5,15,85,0.25,5040,0.98
5,16,85,0.25,5040,0.9606
5,17,85,0.25,5040,0.9896
5,18,85,0.25,5040,0.9894
5,19,85,0.25,5040,0.9583
5,20,85,0.25,5040,0.9894
5,1,85,0.25,5544,0.9619
5,2,85,0.25,5544,0.9596
5,3,85,0.25,5544,0.9888
