Test_ID,Sample_ID,Time,Flux_t,DeltaColor_t
1,6,1058,0.75166,0.009102176
1,6,1081,0.75016,0.009102176
1,6,1104,0.7385,0.009092172
1,6,1127,0.74421,0.009001422
1,6,1150,0.74244,0.008655726
1,6,1173,0.73318,0.008472166
1,6,1196,0.73219,0.00851279
1,6,1219,0.72723,0.008289367
1,6,1242,0.72208,0.00851279
1,6,1265,0.72508,0.00756965
1,6,1288,0.72009,0.008107379
1,6,1311,0.71356,0.008240243
1,6,1334,0.70978,0.008149822
1,6,1357,0.70269,0.009194107
1,6,1380,0.70016,0.008595673
1,6,1403,0.70108,0.00891087
1,6,1426,0.69636,0.009274244
1,6,1449,0.69242,0.009267664
1,6,1472,0.69171,0.009044092
1,6,1495,0.69121,0.008595673
1,6,1518,0.6692,0.008868686
1,6,1541,0.67779,0.009497663
1,6,1564,0.67511,0.009092172
1,6,1587,0.67714,0.009497663
1,6,1610,0.67372,0.009274244
1,6,1633,0.66611,0.009762664
1,7,0,1,0
1,7,23,0.98875,0.001407693
1,7,46,0.93504,0.003586028
1,7,69,0.95308,0.004036285
1,7,92,0.92988,0.004415835
1,7,115,0.88391,0.004731554
1,7,138,0.92041,0.004918089
1,7,161,0.90798,0.005047336
1,7,184,0.90494,0.005199769
1,7,207,0.89021,0.005679049
1,7,230,0.89462,0.005926517
1,7,253,0.88522,0.006115848
1,7,276,0.88005,0.006432076
1,7,299,0.87241,0.006432076
1,7,322,0.87884,0.00649643
1,7,345,0.86283,0.006783333
1,7,368,0.83378,0.00714112
1,7,391,0.85366,0.007319809
1,7,414,0.84705,0.007319809
1,7,437,0.84457,0.007387259
1,7,460,0.84419,0.007360272
1,7,483,0.83734,0.007456782
1,7,506,0.83604,0.007650072
1,7,529,0.83608,0.007819565
1,7,552,0.83413,0.008134716
1,7,575,0.82447,0.008037636
1,7,598,0.82673,0.008014088
1,7,621,0.82374,0.00789415
1,7,644,0.81589,0.008111449
1,7,667,0.81241,0.008523708
1,7,690,0.76092,0.008594161
1,7,713,0.7492,0.008854129
1,7,736,0.74692,0.008207046
1,7,759,0.73956,0.008669233
1,7,782,0.7406,0.008446159
1,7,805,0.7398,0.008761598
1,7,828,0.734,0.008854129
1,7,851,0.73063,0.008501153
1,7,874,0.69714,0.009077092
1,7,897,0.72032,0.009509763
1,7,920,0.72455,0.008892334
1,7,943,0.71866,0.008577039
1,7,966,0.71748,0.008892334
1,7,989,0.69439,0.008816893
1,7,1012,0.72582,0.008594161
1,7,1035,0.69869,0.008631199
1,7,1058,0.70964,0.008748234
1,7,1081,0.71261,0.008616473
1,7,1104,0.70385,0.008656882
1,7,1127,0.70354,0.008873872
1,7,1150,0.70503,0.008315624
1,7,1173,0.68685,0.008210091
1,7,1196,0.6867,0.008118842
1,7,1219,0.6859,0.008301542
1,7,1242,0.68196,0.008474763
1,7,1265,0.68158,0.007986714
1,7,1288,0.67661,0.008485022
1,7,1311,0.6718,0.008524881
1,7,1334,0.66863,0.008656882
1,7,1357,0.66571,0.009207692
1,7,1380,0.67156,0.008604394
1,7,1403,0.6632,0.009103714
1,7,1426,0.65864,0.009194977
1,7,1449,0.6535,0.009012636
1,7,1472,0.65183,0.009194977
1,7,1495,0.65383,0.008604394
1,7,1518,0.63324,0.008656882
1,7,1541,0.64275,0.009509763
1,7,1564,0.64095,0.008577039
1,7,1587,0.64177,0.008984631
1,7,1610,0.63384,0.008789175
1,7,1633,0.63209,0.008789175
1,8,0,1,0
1,8,23,1.01416,0.001397856
1,8,46,0.94883,0.003986477
1,8,69,0.9695,0.004227529
1,8,92,0.93356,0.004879754
1,8,115,0.90651,0.004921179
1,8,138,0.92775,0.005326537
1,8,161,0.93521,0.005235456
1,8,184,0.93063,0.005417933
1,8,207,0.90513,0.005916925
1,8,230,0.90733,0.006140033
1,8,253,0.91326,0.006140033
1,8,276,0.91499,0.006455385
1,8,299,0.90653,0.006417632
1,8,322,0.91596,0.006417632
1,8,345,0.90369,0.006697164
1,8,368,0.87239,0.007013131
1,8,391,0.88476,0.007142269
1,8,414,0.88511,0.00732912
1,8,437,0.87912,0.007235606
1,8,460,0.87379,0.007294518
1,8,483,0.87648,0.00738864
1,8,506,0.86593,0.007577335
1,8,529,0.86769,0.007766595
1,8,552,0.85763,0.008177652
1,8,575,0.85892,0.008082821
1,8,598,0.86063,0.007956381
1,8,621,0.8494,0.007925781
1,8,644,0.84287,0.008177652
1,8,667,0.84077,0.008683893
1,8,690,0.78221,0.008899551
1,8,713,0.76978,0.009257429
1,8,736,0.77462,0.00931751
1,8,759,0.76621,0.009123157
1,8,782,0.76821,0.008989105
1,8,805,0.76437,0.009123157
1,8,828,0.74914,0.009302473
1,8,851,0.74677,0.009078877
1,8,874,0.72517,0.009704638
1,8,897,0.75243,0.009755819
1,8,920,0.74768,0.009615508
1,8,943,0.74095,0.009257429
1,8,966,0.742,0.009570371
1,8,989,0.72104,0.009570371
1,8,1012,0.74774,0.009346764
1,8,1035,0.72104,0.009436313
1,8,1058,0.73432,0.009572983
1,8,1081,0.7394,0.009572983
1,8,1104,0.72657,0.009580814
1,8,1127,0.72761,0.009716995
1,8,1150,0.73207,0.009214337
1,8,1173,0.69095,0.009349438
1,8,1196,0.71272,0.008949749
1,8,1219,0.7083,0.009173222
1,8,1242,0.70531,0.00930892
1,8,1265,0.7044,0.008590693
1,8,1288,0.69869,0.009173222
1,8,1311,0.69465,0.009173222
1,8,1334,0.69095,0.009396702
1,8,1357,0.68529,0.010062703
1,8,1380,0.69028,0.009755819
1,8,1403,0.68158,0.010155294
1,8,1426,0.67976,0.010243632
1,8,1449,0.67834,0.010202745
1,8,1472,0.67363,0.010378825
1,8,1495,0.67918,0.009755819
1,8,1518,0.64968,0.009931767
1,8,1541,0.65921,0.009755819
1,8,1564,0.65865,0.01002008
1,8,1587,0.65608,0.01042094
1,8,1610,0.65501,0.010155294
1,8,1633,0.65142,0.010561913
1,9,0,1,0
1,9,23,1.00058,0.00102528
1,9,46,0.95001,0.003144074
1,9,69,0.9778,0.003523237
1,9,92,0.95452,0.004201809
1,9,115,0.90659,0.004333497
1,9,138,0.94379,0.004556885
1,9,161,0.93535,0.004648355
1,9,184,0.92605,0.004963386
1,9,207,0.91661,0.005556006
1,9,230,0.91857,0.005593854
1,9,253,0.90679,0.005929351
1,9,276,0.90603,0.006151683
1,9,299,0.90445,0.006245414
1,9,322,0.90447,0.00627401
1,9,345,0.8988,0.006590235
1,9,368,0.86238,0.006716785
1,9,391,0.88389,0.007033008
1,9,414,0.88492,0.007127777
1,9,437,0.88505,0.007096703
1,9,460,0.86959,0.007192023
1,9,483,0.87834,0.007162625
1,9,506,0.87104,0.00745045
1,9,529,0.86633,0.007546602
1,9,552,0.86622,0.007862519
1,9,575,0.85894,0.007890577
1,9,598,0.86296,0.007642853
1,9,621,0.8558,0.007739199
1,9,644,0.84022,0.007835637
1,9,667,0.84301,0.008370854
1,9,690,0.78227,0.008548052
1,9,713,0.77553,0.008943221
1,9,736,0.78327,0.008581212
1,9,759,0.76917,0.008587852
1,9,782,0.77093,0.008324854
1,9,805,0.76783,0.008852073
1,9,828,0.76401,0.009075528
1,9,851,0.76524,0.008771271
1,9,874,0.72534,0.009572732
1,9,897,0.75203,0.009474028
1,9,920,0.75279,0.009390059
1,9,943,0.74728,0.009075528
1,9,966,0.74873,0.009349396
1,9,989,0.72646,0.009441038
1,9,1012,0.75877,0.008994509
1,9,1035,0.71028,0.009232833
1,9,1058,0.7382,0.009349396
1,9,1081,0.73628,0.009390059
1,9,1104,0.72429,0.009564476
1,9,1127,0.72016,0.009740903
1,9,1150,0.73715,0.009126073
1,9,1173,0.72318,0.008893886
1,9,1196,0.72481,0.008713048
1,9,1219,0.71021,0.008579814
1,9,1242,0.71463,0.008890624
1,9,1265,0.71657,0.007906782
1,9,1288,0.71202,0.008309464
1,9,1311,0.70682,0.008309464
1,9,1334,0.70561,0.008399357
1,9,1357,0.69954,0.009298989
1,9,1380,0.70294,0.009474028
1,9,1403,0.70352,0.00925047
1,9,1426,0.69234,0.009788013
1,9,1449,0.68975,0.009607351
1,9,1472,0.6891,0.009517311
1,9,1495,0.67616,0.009474028
1,9,1518,0.66676,0.009293718
1,9,1541,0.6717,0.009474028
1,9,1564,0.6766,0.009607351
1,9,1587,0.6814,0.009878623
1,9,1610,0.67241,0.009878623
1,9,1633,0.66781,0.010278093
1,10,0,1,0
1,10,23,0.98285,0.001344024
1,10,46,0.91585,0.003739572
1,10,69,0.93641,0.004277195
1,10,92,0.93152,0.004591557
1,10,115,0.88577,0.004767431
1,10,138,0.92156,0.004947767
1,10,161,0.89912,0.005394293
1,10,184,0.90286,0.00535298
1,10,207,0.90099,0.00572
1,10,230,0.89479,0.005943097
1,10,253,0.8919,0.006035429
1,10,276,0.88146,0.006481543
1,10,299,0.86781,0.006693758
1,10,322,0.88115,0.006407059
1,10,345,0.86586,0.006967381
1,10,368,0.83746,0.007132489
1,10,391,0.86068,0.007168152
1,10,414,0.85819,0.007132489
1,10,437,0.86073,0.007128001
1,10,460,0.85713,0.007032951
1,10,483,0.85277,0.007254268
1,10,506,0.84791,0.007444219
1,10,529,0.84248,0.007665403
1,10,552,0.83791,0.008046515
1,10,575,0.82849,0.008080619
1,10,598,0.83202,0.00791899
1,10,621,0.83693,0.007453348
1,10,644,0.81671,0.008046515
1,10,667,0.82035,0.008237378
1,10,690,0.76518,0.008481887
1,10,713,0.75458,0.008971644
1,10,736,0.75547,0.008841289
1,10,759,0.75652,0.008481887
1,10,782,0.75878,0.00812554
1,10,805,0.74796,0.008837104
1,10,828,0.74829,0.00875445
1,10,851,0.74083,0.008926388
1,10,874,0.7053,0.009329223
1,10,897,0.72659,0.009732852
1,10,920,0.73441,0.009284309
1,10,943,0.7315,0.008837104
1,10,966,0.73363,0.008748394
1,10,989,0.70426,0.009060706
1,10,1012,0.73823,0.00875445
1,10,1035,0.71421,0.00875445
1,10,1058,0.72039,0.009200348
1,10,1081,0.7161,0.009376481
1,10,1104,0.7047,0.009297656
1,10,1127,0.70792,0.009152945
1,10,1150,0.72325,0.008481887
1,10,1173,0.71143,0.008345082
1,10,1196,0.7135,0.008255568
1,10,1219,0.70708,0.008613501
1,10,1242,0.70179,0.008841289
1,10,1265,0.70477,0.007942695
1,10,1288,0.70141,0.008255568
1,10,1311,0.69586,0.008570671
1,10,1334,0.69279,0.008705883
1,10,1357,0.68783,0.009195564
1,10,1380,0.68881,0.008841289
1,10,1403,0.68812,0.009152945
1,10,1426,0.6837,0.009507912
1,10,1449,0.67879,0.009329973
1,10,1472,0.6787,0.009418832
1,10,1495,0.66437,0.009732852
1,10,1518,0.66026,0.008613501
1,10,1541,0.66437,0.009732852
1,10,1564,0.65239,0.00965735
1,10,1587,0.66426,0.009642427
1,10,1610,0.66393,0.009149995
1,10,1633,0.65388,0.009418832
1,11,0,1,NaN
1,11,23,0.99761,NaN
1,11,46,0.93932,NaN
1,11,69,0.96651,NaN
1,11,92,0.94278,NaN
1,11,115,0.89854,NaN
1,11,138,0.93107,NaN
1,11,161,0.91894,NaN
1,11,184,0.91411,NaN
1,11,207,0.90339,NaN
1,11,230,0.90247,NaN
1,11,253,0.89863,NaN
1,11,276,0.8867,NaN
1,11,299,0.89111,NaN
